date,year,month,product,bank,total_volume,approved_pct,bd_pct,td_pct,total_decline_pct
2021-01-08,2021,1,NFS,State Bank of India,109.85,83.91,14.68,0.44,15.12
2021-01-08,2021,1,NFS,Union Bank Of India,35.1,82.67,15.44,0.93,16.37
2021-01-08,2021,1,NFS,Canara Bank,32.95,79.88,16.9,2.4,19.299999999999997
2021-01-08,2021,1,NFS,Bank Of Baroda,30.98,81.56,16.73,0.7,17.43
2021-01-08,2021,1,NFS,Punjab National Bank,29.26,82.62,15.71,0.68,16.39
2021-01-08,2021,1,NFS,Indian Bank,25.34,81.85,14.96,2.34,17.3
2021-01-08,2021,1,NFS,HDFC Bank,23.26,89.3,9.34,0.2,9.54
2021-01-08,2021,1,NFS,Bank Of India,21.38,85.9,12.1,1.01,13.11
2021-01-08,2021,1,NFS,ICICI Bank,16.37,89.14,9.02,0.77,9.79
2021-01-08,2021,1,NFS,Central Bank of India,14.35,76.99,21.22,0.92,22.14
2021-01-08,2021,1,NFS,Axis Bank,14.29,89.03,8.41,1.37,9.780000000000001
2021-01-08,2021,1,NFS,Indian Overseas Bank,10.92,80.07,15.71,3.36,19.07
2021-01-08,2021,1,NFS,UCO Bank,8.74,77.66,16.42,5.07,21.490000000000002
2021-01-08,2021,1,NFS,Bank of Maharashtra,8.47,80.41,17.55,1.07,18.62
2021-01-08,2021,1,NFS,Federal Bank,7.15,89.34,9.08,0.58,9.66
2021-01-08,2021,1,NFS,Kotak Mahindra Bank,6.35,84.35,11.29,3.29,14.579999999999998
2021-01-08,2021,1,NFS,IDBI Bank,5.55,87.51,10.99,0.38,11.370000000000001
2021-01-08,2021,1,NFS,Indusind Bank,4.95,88.96,9.37,0.74,10.11
2021-01-08,2021,1,NFS,Karnataka Bank,4.29,79.43,17.74,1.97,19.709999999999997
2021-01-08,2021,1,NFS,Karur Vysya Bank,3.94,85.56,13.04,0.5,13.54
2021-01-08,2021,1,NFS,IDFC,2.66,89.31,9.16,0.5,9.66
2021-01-08,2021,1,NFS,Yes Bank Ltd,2.57,84.76,11.7,2.57,14.27
2021-01-08,2021,1,NFS,Ujjivan Small Finance Bank Limited,2.55,80.43,18.09,0.63,18.72
2021-01-08,2021,1,NFS,Bandhan Bank limited,2.46,86.23,12.45,0.39,12.84
2021-01-08,2021,1,NFS,Paytm Payments Bank Ltd,2.38,83.33,15.1,0.53,15.629999999999999
2021-01-08,2021,1,NFS,The South Indian Bank,2.36,86.26,11.28,1.52,12.799999999999999
2021-01-08,2021,1,NFS,Punjab and Sind Bank,2.14,73.18,23.22,2.71,25.93
2021-01-08,2021,1,NFS,Department of Post,1.79,75.7,22.71,0.84,23.55
2021-01-08,2021,1,NFS,City Union Bank,1.74,82.7,15.26,1.08,16.34
2021-01-08,2021,1,NFS,Jammu and Kashmir Bank,1.71,82.12,16.42,0.57,16.990000000000002
2021-01-08,2021,1,NFS,ESAF Small Finance Bank,1.66,74.82,23.55,0.85,24.400000000000002
2021-01-08,2021,1,NFS,Fino Payments Bank,1.66,74.99,23.65,0.57,24.22
